ledger_id,transaction_id,merchant_id,transaction_date,currency,amount,status
L7051,T1031,M-106,2026-07-15,AED,2137.23,posted
L7016,T1018,M-103,2026-07-21,AED,1345.04,posted
L7037,T1042,M-104,2026-07-07,EUR,3677.69,posted
L7031,T1035,M-103,2026-07-17,AED,824.03,posted
L7015,T1017,M-102,2026-07-08,AED,870.12,posted
L7019,T1021,M-105,2026-07-19,AED,4436.49,posted
L7036,T1040,M-103,2026-07-18,AED,2331.97,posted
L7010,T1011,M-102,2026-07-18,EUR,1866.96,posted
L7006,T1007,M-103,2026-07-05,AED,1682.95,posted
L7030,T1034,M-105,2026-07-07,USD,2487.61,posted
L7027,T1030,M-102,2026-07-09,AED,2628.47,posted
L7020,T1022,M-106,2026-07-21,AED,2447.08,posted
L7009,T1010,M-105,2026-07-18,USD,3554.97,posted
L7005,T1005,M-104,2026-07-14,USD,3418.43,posted
L7045,T1050,M-108,2026-07-14,AED,2320.87,posted
L7004,T1004,M-104,2026-07-18,AED,2941.12,posted
L7034,T1038,M-104,2026-07-03,AED,4267.66,posted
L7011,T1012,M-105,2026-07-12,USD,3020.43,posted
L7043,T1048,M-102,2026-07-18,AED,1386.03,posted
L7029,T1033,M-103,2026-07-21,AED,559.0,posted
L7046,T1051,M-104,2026-07-12,AED,3214.91,posted
L7042,T1047,M-101,2026-07-11,AED,4399.41,posted
L7024,T1027,M-103,2026-07-14,AED,3854.64,posted
L7050,T1055,M-107,2026-07-03,EUR,2271.15,posted
L7018,T1020,M-104,2026-07-13,USD,3916.97,posted
L7026,T1029,M-105,2026-07-01,EUR,4184.85,posted
L7032,T1036,M-101,2026-07-05,AED,2396.01,posted
L7001,T1001,M-102,2026-07-08,AED,1369.47,posted
L7014,T1016,M-103,2026-07-09,AED,1054.54,posted
L7041,T1046,M-104,2026-07-21,AED,82.11,posted
L7049,T1054,M-104,2026-07-06,AED,2625.18,posted
L7052,T1008,M-104,2026-07-03,EUR,1665.37,posted
L7013,T1014,M-105,2026-07-04,EUR,4158.59,posted
L7025,T1028,M-102,2026-07-15,AED,2911.66,posted
L7048,T1053,M-102,2026-07-04,AED,3547.67,posted
L7033,T1037,M-106,2026-07-10,USD,4044.9,posted
L7040,T1045,M-104,2026-07-18,AED,148.65,posted
L7021,T1023,M-108,2026-07-18,AED,718.68,posted
L7023,T1026,M-108,2026-07-04,AED,274.02,posted
L7028,T1031,M-106,2026-07-15,AED,2137.23,posted
L7039,T1044,M-108,2026-07-08,USD,2193.5,posted
L7007,T1008,M-104,2026-07-03,EUR,1665.37,posted
L7003,T1003,M-102,2026-07-03,AED,200.31,posted
L7047,T1052,M-107,2026-07-02,AED,4199.54,posted
L7038,T1043,M-105,2026-07-12,AED,3300.61,posted
L7012,T1013,M-104,2026-07-08,USD,243.49,posted
L7017,T1019,M-104,2026-07-02,AED,4098.68,posted
L7008,T1009,M-107,2026-07-20,AED,4120.99,posted
L7002,T1002,M-103,2026-07-18,USD,3307.7,posted
L7022,T1024,M-105,2026-07-19,USD,2106.8,posted
L7035,T1039,M-102,2026-07-18,AED,3969.73,posted
L7044,T1049,M-104,2026-07-19,AED,3524.31,posted
