settlement_id,transaction_id,merchant_id,transaction_date,settlement_date,currency,gross_amount,fee_amount,net_amount,status
S5031,T1031,M-106,2026-07-15,2026-07-16,AED,2202.09,64.86,2137.23,settled
S5030,T1030,M-102,2026-07-09,2026-07-10,AED,2708.0,79.53,2628.47,settled
S5022,T1022,M-106,2026-07-21,2026-07-23,AED,2521.19,74.11,2447.08,settled
S5021,T1021,M-105,2026-07-19,2026-07-21,AED,4570.02,133.53,4436.49,settled
S5041,T1041,M-103,2026-07-14,2026-07-15,AED,4368.54,127.69,4240.85,settled
S5020,T1020,M-104,2026-07-13,2026-07-15,USD,4034.98,118.01,3916.97,settled
S5053,T1053,M-102,2026-07-04,2026-07-05,AED,3654.66,106.99,3547.67,settled
S5019,T1019,M-104,2026-07-02,2026-07-04,AED,4222.12,123.44,4098.68,settled
S5039,T1039,M-102,2026-07-18,2026-07-19,USD,4089.32,119.59,3969.73,settled
S5001,T1001,M-102,2026-07-08,2026-07-10,AED,1411.4,41.93,1369.47,settled
S5035,T1035,M-103,2026-07-17,2026-07-18,AED,849.67,25.64,824.03,settled
S5037,T1037,M-106,2026-07-10,2026-07-11,USD,4166.74,121.84,4044.9,settled
S5023,T1023,M-108,2026-07-18,2026-07-19,AED,741.17,22.49,718.68,settled
S5006,T1006,M-104,2026-07-01,2026-07-02,AED,1427.04,42.38,1384.66,settled
S5048,T1048,M-102,2026-07-16,2026-07-17,AED,1428.46,42.43,1386.03,settled
S5017,T1017,M-102,2026-07-08,2026-07-10,AED,897.14,27.02,870.12,settled
S5050,T1050,M-108,2026-07-14,2026-07-15,AED,2391.22,70.35,2320.87,settled
S5027,T1027,M-103,2026-07-14,2026-07-15,AED,3970.79,116.15,3854.64,settled
S5040,T1040,M-103,2026-07-18,2026-07-20,AED,2402.65,70.68,2331.97,settled
S5036,T1036,M-101,2026-07-04,2026-07-05,AED,2468.6,72.59,2396.01,settled
S5015,T1015,M-107,2026-07-12,2026-07-14,AED,3196.64,93.7,3102.94,settled
S5005,T1005,M-104,2026-07-14,2026-07-15,USD,3521.56,103.13,3418.43,settled
S5007,T1007,M-103,2026-07-05,2026-07-06,AED,1734.24,51.29,1682.95,settled
S5010,T1010,M-105,2026-07-18,2026-07-20,USD,3662.17,107.2,3554.97,settled
S5009,T1009,M-107,2026-07-20,2026-07-22,AED,4245.1,124.11,4120.99,settled
S5055,T1055,M-107,2026-07-03,2026-07-05,AED,2340.01,68.86,2271.15,settled
S5034,T1034,M-105,2026-07-07,2026-07-08,USD,2562.93,75.32,2487.61,settled
S5033,T1033,M-103,2026-07-21,2026-07-22,AED,576.73,17.73,559.0,settled
S5051,T1051,M-104,2026-07-12,2026-07-14,AED,3311.96,97.05,3214.91,settled
S5032,T1032,M-101,2026-07-09,2026-07-11,EUR,4385.47,128.18,4257.29,settled
S5028,T1028,M-102,2026-07-15,2026-07-16,AED,2999.65,87.99,2911.66,settled
S5024,T1024,M-105,2026-07-19,2026-07-20,USD,2170.75,63.95,2106.8,settled
S5044,T1044,M-108,2026-07-08,2026-07-09,USD,2284.86,67.26,2217.6,settled
S5002,T1002,M-103,2026-07-18,2026-07-19,USD,3399.66,99.59,3300.07,settled
S5043,T1043,M-105,2026-07-12,2026-07-13,AED,3374.85,98.87,3275.98,settled
S5014,T1014,M-105,2026-07-04,2026-07-05,EUR,4283.82,125.23,4158.59,settled
S5013,T1013,M-104,2026-07-08,2026-07-09,USD,276.83,9.03,267.8,settled
S5049,T1049,M-104,2026-07-19,2026-07-21,AED,3630.6,106.29,3524.31,settled
S5011,T1011,M-102,2026-07-18,2026-07-19,EUR,1923.75,56.79,1866.96,settled
S5042,T1042,M-104,2026-07-07,2026-07-08,EUR,3788.56,110.87,3677.69,settled
S5029,T1029,M-105,2026-07-01,2026-07-03,EUR,4310.86,126.01,4184.85,settled
S5038,T1038,M-104,2026-07-03,2026-07-04,AED,4396.15,128.49,4267.66,settled
S5052,T1052,M-107,2026-07-02,2026-07-04,AED,4325.99,126.45,4199.54,settled
S5008,T1008,M-104,2026-07-03,2026-07-05,EUR,1716.14,50.77,1665.37,settled
S5046,T1046,M-104,2026-07-21,2026-07-23,AED,85.59,3.48,82.11,settled
S5018,T1018,M-103,2026-07-21,2026-07-23,AED,1386.24,41.2,1345.04,settled
S5047,T1047,M-101,2026-07-11,2026-07-13,AED,4531.83,132.42,4399.41,settled
S5016,T1016,M-103,2026-07-09,2026-07-10,AED,1087.06,32.52,1054.54,settled
S5025,T1025,M-107,2026-07-05,2026-07-07,AED,4986.76,145.62,4841.14,settled
S5004,T1004,M-104,2026-07-18,2026-07-19,AED,3029.99,88.87,2941.12,settled
S5054,T1054,M-104,2026-07-05,2026-07-07,AED,2704.61,79.43,2625.18,settled
S5026,T1026,M-108,2026-07-04,2026-07-05,AED,283.23,9.21,274.02,settled
